issue_id,journal_id,user,notes,created_on,details,property,name,old_value,new_value
208293,1855454,Priscila Carvalho Ramos,,2025-05-07 13:01:23,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '1890', 'new_value': '733'}, {'property': 'attr', 'name': 'status_id', 'old_value': '1', 'new_value': '154'}]",attr,assigned_to_id,1890,733
208293,1855517,Nara Marise Campelo D'Amorim,,2025-05-07 13:30:33,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '733', 'new_value': '149'}, {'property': 'attr', 'name': 'status_id', 'old_value': '154', 'new_value': '155'}]",attr,assigned_to_id,733,149
208293,1855771,Nara Marise Campelo D'Amorim,"Solicitação atendida. Segue log de execução:

---01: PTA

Procedimento PL/SQL concluído com sucesso.
756 linhas excluído.
63 linhas excluído.
Commit concluído.


---02 Teto:

Procedimento PL/SQL concluído com sucesso.
1.944 linhas excluído.
216 linhas excluído.
1.728 linhas excluído.
144 linhas excluído.
192 linhas excluído.
16 linhas excluído.
Commit concluído.
",2025-05-07 16:53:18,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '149', 'new_value': '1890'}, {'property': 'attr', 'name': 'status_id', 'old_value': '155', 'new_value': '30'}]",attr,assigned_to_id,149,1890
208292,1857896,Daniela Palma,,2025-05-09 17:59:04,"[{'property': 'attr', 'name': 'status_id', 'old_value': '154', 'new_value': '155'}]",attr,status_id,154,155
208287,1855472,Rafael Pinto Vieira dos Santos,,2025-05-07 13:07:19,"[{'property': 'attr', 'name': 'status_id', 'old_value': '154', 'new_value': '71'}]",attr,status_id,154,71
208287,1856857,Marcus Vinicius Lima Vidal,,2025-05-08 17:11:00,"[{'property': 'attr', 'name': 'status_id', 'old_value': '71', 'new_value': '73'}]",attr,status_id,71,73
208286,1855501,Antonio Alves da Cunha Junior,,2025-05-07 13:23:03,"[{'property': 'attr', 'name': 'status_id', 'old_value': '154', 'new_value': '71'}]",attr,status_id,154,71
208286,1855511,Antonio Alves da Cunha Junior,,2025-05-07 13:25:20,"[{'property': 'attr', 'name': 'description', 'old_value': '', 'new_value': '- Corrigir label QTDE Modal\r\n- ALterar para label QTDE grid\r\n- Rever formatação números QTDE\r\n- Botões da grid devem estar desabilitados caso situação seja Validado pela APG, liberado apenas o detalhar'}]",attr,description,,"- Corrigir label QTDE Modalrn- ALterar para label QTDE gridrn- Rever formatação números QTDErn- Botões da grid devem estar desabilitados caso situação seja Validado pela APG, liberado apenas o detalhar"
208286,1856072,Antonio Alves da Cunha Junior,,2025-05-07 19:30:38,"[{'property': 'attr', 'name': 'done_ratio', 'old_value': '0', 'new_value': '80'}]",attr,done_ratio,0,80
208286,1856437,Antonio Alves da Cunha Junior,,2025-05-08 13:06:55,"[{'property': 'attr', 'name': 'done_ratio', 'old_value': '80', 'new_value': '100'}, {'property': 'attr', 'name': 'status_id', 'old_value': '71', 'new_value': '73'}]",attr,done_ratio,80,100
208285,1855327,Marcus Vinicius Lima Vidal,,2025-05-07 11:12:34,"[{'property': 'attr', 'name': 'status_id', 'old_value': '154', 'new_value': '71'}]",attr,status_id,154,71
208285,1855330,Marcus Vinicius Lima Vidal,,2025-05-07 11:13:55,"[{'property': 'attr', 'name': 'description', 'old_value': '', 'new_value': '- Copiar Ação Não Planejada do relato anterior somente do exercício corrente'}]",attr,description,,- Copiar Ação Não Planejada do relato anterior somente do exercício corrente
208285,1856260,Marcus Vinicius Lima Vidal,,2025-05-07 20:45:34,"[{'property': 'attr', 'name': 'done_ratio', 'old_value': '0', 'new_value': '50'}]",attr,done_ratio,0,50
208285,1856798,Marcus Vinicius Lima Vidal,,2025-05-08 16:45:43,"[{'property': 'attr', 'name': 'done_ratio', 'old_value': '50', 'new_value': '100'}, {'property': 'attr', 'name': 'status_id', 'old_value': '71', 'new_value': '73'}]",attr,done_ratio,50,100
208284,1855325,Flavia Fernandes Amaral Ramalho,,2025-05-07 11:04:44,"[{'property': 'attr', 'name': 'status_id', 'old_value': '1', 'new_value': '154'}]",attr,status_id,1,154
208284,1855425,Priscila Carvalho Ramos,,2025-05-07 12:46:07,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '1211', 'new_value': '1890'}, {'property': 'attr', 'name': 'status_id', 'old_value': '154', 'new_value': '155'}]",attr,assigned_to_id,1211,1890
208284,1855449,Priscila Carvalho Ramos,,2025-05-07 13:01:04,"[{'property': 'relation', 'name': 'copied_to', 'new_value': '208293'}]",relation,copied_to,,208293
208284,1855792,Priscila Carvalho Ramos,Execução efetuada.,2025-05-07 17:08:37,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '1890', 'new_value': '1557'}, {'property': 'attr', 'name': 'status_id', 'old_value': '155', 'new_value': '30'}]",attr,assigned_to_id,1890,1557
208283,1855290,Ana Poly Ferreira da Silva,,2025-05-06 20:35:50,"[{'property': 'relation', 'name': 'relates', 'new_value': '198358'}]",relation,relates,,198358
208283,1855308,Ana Poly Ferreira da Silva,,2025-05-06 21:50:17,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '595', 'new_value': '2243'}, {'property': 'attr', 'name': 'status_id', 'old_value': '200', 'new_value': '156'}, {'property': 'attr', 'name': 'description', 'old_value': ""Solicito realizar seguintes ajustes:\r\n- label do campo 'Categoria do Perfil'.\r\n- largura das colunas grid (ver anexo cenário de TI com a definição).\r\n\r\n\r\n\r\n\r\n"", 'new_value': ""Solicito realizar seguintes ajustes:\r\n- label do campo 'Categoria do Perfil'.\r\n- largura das colunas grid (ver anexo cenário de TI com a definição).\r\n\r\nSegue link para baixar a versão correspondente do caso de uso:\r\nhttps://prodeboffice365.sharepoint.com/sites/solues/Documentos%20Compartilhados/FIPLAN/Casos%20de%20Uso/17.%20GEST%C3%83O/SEGURAN%C3%87A/Manter_Perfil.docx\r\n\r\n\r\n""}, {'property': 'attr', 'name': 'subject', 'old_value': 'Gestão de Usuários - Consultar Perfil - Mudança layout - Ajustes largura coluna grids', 'new_value': ""Gestão de Usuários - Consultar Perfil - Mudança layout - Ajustes largura coluna grids e Label campo 'Categoria do Perfil'""}]",,,,
208283,1857378,Igor  Silva Freitas Santos,,2025-05-09 11:43:21,"[{'property': 'attr', 'name': 'assigned_to_id', 'old_value': '2243', 'new_value': '2737'}]",attr,assigned_to_id,2243,2737
